areaID,elev,dry,prep2015,temp2015,costal,capital,buVolu_non,buVolu_Tot,GDP2
0,1924,0,844.4666748,8.350930214,0,1,8654533,434331479,6859920417
1,69,0,416.200058,17.6875,1,1,101722336,965310701,48964581214
2,970,0,481.1750793,16.51042557,0,0,1606794,69938504,2150569771
3,71,0,371.5998001,25.11386681,1,1,35394688,1411233553,45442773486
4,20,0,960.7928467,17.56547165,1,1,294205668,5680465740,3.46E+11
5,533,0,692.4776001,17.64905548,0,0,51832498,807156098,29780337432
6,128,0,1031.815063,16.61859131,1,0,433309818,3384360494,1.57E+11
7,256,0,636.9498138,11.17083931,0,1,251934705,1004024784,93244036591
8,25,1,296.8141708,15.53928566,1,0,80804487,970732342,26483372003
9,10,0,2381.739624,25.67667007,1,1,59743400,1141901883,75618088333
10,19,0,1701.36145,26.04271317,1,0,2849896,78085393,998999355.2
11,41,0,2306.912659,25.00715637,0,0,309667,14402432,691565700.6
12,130,0,497.7819214,8.990152359,0,0,60065268,270002874,9366518670
13,10,0,811.2250671,11.38542461,1,0,376191125,1170157390,46309538666
14,3071,0,1028.311615,14.91758919,0,0,37456363,564017626,7065665094
15,44,0,1160.49884,25.45278358,1,0,214676,34108391,64715080.69
16,383,0,501.4248047,24.0635376,0,0,1370843,54343156,84336189.12
17,857,0,1095.391479,21.9704628,0,0,171082701,2567678242,56055998537
18,930,0,2112.630066,19.30999947,0,0,104698108,1813224108,4046088152
19,55,1,2277.861511,19.84666061,1,0,23841972,309188342,9440360234
20,796,0,2366.471924,20.93273544,1,0,489632823,8785070278,4.64E+11
21,604,0,1913.810669,23.1879673,0,0,13435459,344489260,13095909740
22,243,0,1196.500031,28.21146202,0,0,3548942,91042849,2517375578
23,96,1,1981.072632,10.41894531,1,0,15915322,272921971,11508288544
24,34,0,1102.246582,5.969443798,1,0,523382212,2097572932,1.00E+11
25,729,0,388.9091034,11.32727528,0,1,221278895,1802872990,7.54E+11
26,28,0,1784.565308,16.58979988,1,0,36076160,259509701,3596499749
27,109,0,1581.724548,22.40311241,0,0,21051314,316341612,4754436742
28,1495,0,1375.999512,15.19998741,0,0,249650,24422946,206082879.3
29,934,0,1419.98703,15.31771278,0,0,12668909,253892379,3110109916
30,25,1,1850.82605,25.27291298,1,0,39233114,588897567,10808230893
31,35,0,501.3668976,12.38888359,1,0,220638826,1708475417,30024980910
32,165,0,723.5533447,15.21944046,0,0,434401565,3449525603,72078007408
33,29,0,1448.937012,17.43332481,1,0,370818639,3405676231,84834690610
34,54,0,1422.848969,17.69583702,1,0,18640646,209573897,6614415550
35,5,0,1447.42804,16.39751053,1,0,563492209,2036624652,64887955796
36,31,0,1185.917999,16.00693321,0,0,19788276,92248565,3457518263
37,3,0,1247.957703,15.98928547,1,0,15738467,161337252,6192611281
38,155,0,1561.099915,17.71388817,0,0,28557830,396494164,6938466005
39,445,0,580.3876648,12.60939598,0,0,13021752,96571961,3241301041
40,129,0,655.7090149,14.83787251,0,0,303468498,1910221722,61119572548
41,40,0,654.2110748,15.24165535,0,0,13283635,109924700,5401990028
42,53,1,524.6799316,13.35999966,1,0,294697054,2239135798,59547181338
43,5,1,1470.085693,17.03868485,1,0,1431301300,9533954152,7.77E+11
44,961,0,552.3222656,10.90093327,0,0,32709252,408943546,6327204570
45,520,0,1109.826233,15.54555988,0,0,515180064,3831136395,1.62E+11
46,402,0,1306.211517,16.6885376,0,0,5056720,180011818,6634942129
47,315,0,1302.188965,18.03020096,0,0,8598555,74715630,5975649585
48,44,1,1675.432068,17.58193398,1,0,27203589,193079047,6544502516
49,222,0,893.0002441,23.10595703,0,0,3260274,98379538,4271413672
50,2721,0,1323.210846,18.81769943,0,1,101916035,1363936461,1.67E+11
51,128,1,941.5142212,27.09168625,1,0,7856407,58900485,5675435661
52,1260,0,1011.799805,20.72603607,0,0,4635098,465086658,1300718252
53,344,0,1525.021362,24.57314491,1,1,39357906,1281899460,7015174916
54,2812,0,2382.124512,15.891675,0,1,69954455,1213068777,29749589278
55,7,0,159.533432,21.03333282,1,0,80759833,1036058862,43768321649
56,110,0,36.48125839,22.0239563,0,1,294478063,4827417661,1.75E+11
57,628,0,1548.635925,25.21559906,1,0,33885525,608596052,13496780226
58,2385,0,1045.401031,17.90831184,0,1,31664854,845771026,6286637680
59,59,1,1601.939941,24.50498009,1,1,3314123,224494035,1255377615
60,100,0,575.5894318,12.03113174,0,1,1090368270,5115204810,6.34E+11
61,66,0,605.5000305,12.13748741,0,0,33549743,136458877,4804251529
62,49,0,511.4642487,10.71606445,0,1,408820880,1728641959,1.40E+11
63,7,0,807.9873962,10.46562481,1,0,18845150,95372387,5336407135
64,105,0,458.4667969,10.3092556,0,0,39924915,139109585,6790601874
65,46,0,985.078125,27.41297722,1,1,78544256,2441782680,15262806822
66,128,0,639.6874695,14.22187519,1,0,129834388,480513724,14960932509
67,1538,0,2412.818115,22.97728157,0,1,66181905,1001559976,38039864467
68,162,0,563.9582977,12.25139141,0,0,241320203,1181416425,86999508900
69,629,0,760.0832062,26.17083359,0,0,56778,12524859,309337818
70,25,0,956.8123169,28.67501259,0,0,4179100,204982060,7422923229
71,51,1,643.0779877,28.09723282,0,0,112073361,1054180658,49745743035
72,760,0,1051.374939,26.16458702,0,0,5598268,88791721,2762274795
73,34,0,2229.94281,26.9523716,1,0,9635079,184806509,13270743934
74,311,0,946.8999023,25.21310043,0,0,9818707,53277979,571195592.4
75,512,0,765.9502258,27.17188835,0,0,1706936,43199920,2290484180
76,23,0,1211.2099,27.12037849,1,0,349774911,2437282617,1.36E+11
77,448,0,817.4143066,26.86429977,0,0,120403,63706042,2665843766
78,406,0,834.3445129,27.70000076,0,0,715537,49481947,2831058655
79,636,0,883.7550659,25.81758881,0,0,92347073,1345910949,50986752360
80,395,0,704.200058,25.84373665,0,0,14119825,908030897,17881626401
81,402,0,1621.849182,26.11179924,0,0,17787462,541054973,8716690848
