areaID,share_of_barrier_5km_nb,nonconvexity_5km_nb,share_of_barrier_10km_nb,nonconvexity_10km_nb,share_of_barrier_10km_b,nonconvexity_10km_b,detour_5km_nb,detour_5km_b,detour_10km_b,detour_10km_nb,nonconvexity_elastic_nb,nonconvexity_elastic_b,share_barrier_elastic_nb,share_barrier_elastic_b,nonconvexity_Mcircle,Mcircle_radius,nonconvexity_40km
0,0.074379149,0.054101542,0.059639425,0.055882361,0.059639425,0.055882361,0.62319775,0.62319775,0.553709854,0.553709854,0.065578356,0.065578356,0.106561355,0.106561355,0.060180664,22.62473567,0.121459961
1,0.126350186,0.001618697,0.218538902,0.013643157,0.218538902,0.013643157,0.697002977,0.697002977,0.602582337,0.602582337,0.019880215,0.019880215,0.383619975,0.383619975,0.044677734,31.85558796,0.079711914
2,0.004372384,0.001122924,0.009491264,0.005002064,0.009491264,0.005002064,0.771814688,0.771814688,0.80643315,0.80643315,0.002587878,0.002587878,0.004099019,0.004099019,0.004669189,7.619077446,0.009750366
3,0,0,0.00064211,8.34E-07,0.00064211,8.34E-07,0.591457862,0.591457862,0.530123896,0.530123896,0.00953618,0.00953618,0.320511456,0.320511456,0.006057739,20.58898181,0.029769897
4,0,0,0,0,0,0,0.380005877,0.380005877,0.376587787,0.376587787,0.034774955,0.034774955,0.2376342,0.2376342,0.018035889,49.81299038,0.011543274
5,0,0,0.000317325,0.000118687,0.000317325,0.000118687,0.487578446,0.487578446,0.570295036,0.570295036,0.001545414,0.001545414,0.00209695,0.00209695,0.001415253,20.6914745,0.00957489
6,0.00024831,7.65E-05,0.023667983,0.007710807,0.023667983,0.007710807,0.489874739,0.489874739,0.432926338,0.432926338,0.023675261,0.023675261,0.226399163,0.226399163,0.03817749,52.42006849,0.022888184
7,0.001091974,0.001571493,0.018367081,0.005304179,0.018367081,0.005304179,0.556973144,0.556973144,0.477840122,0.477840122,0.021433469,0.021433469,0.020878192,0.020878192,0.019104004,32.78005143,0.017974854
8,0.101055509,0.003424715,0.182073494,0.073530182,0.182073494,0.073530182,0.699185129,0.699185129,0.661782418,0.661782418,0.071691535,0.071691535,0.267271962,0.267271962,0.081726074,17.95009744,0.05947876
9,0.156955694,0.080663294,0.23677871,0.139904425,0.23677871,0.139904425,0.730970027,0.730970027,0.766484921,0.414744674,0.150934353,0.150934353,0.200008743,0.200008743,0.169799805,29.14694522,0.159912109
10,0.174234224,0.087830201,0.101782927,0.089254268,0.222779682,0.07785482,0.401293857,0.401293857,0.408132711,0.408132711,0.081857741,0.081857741,0.242256918,0.242256918,0.122253418,10.08641444,0.104064941
11,0.000871163,0.001241237,0.000903445,0.000845689,0.000903445,0.000845689,0.64657973,0.64657973,0.612577556,0.612577556,0.00819346,0.00819346,0.009336376,0.009336376,0.009124756,3.509607025,0.017089844
12,0.000489183,0.000355563,0.018353444,0.016576145,0.018353444,0.016576145,0.622880387,0.622880387,0.626552842,0.626552842,0.026570896,0.026570896,0.023441904,0.023441904,0.032318115,17.92394487,0.009811401
13,0.000506885,0.00096941,0.002538103,0.00128512,0.002538103,0.00128512,0.3930455,0.3930455,0.385434104,0.385434104,0.011462091,0.011462091,0.015722264,0.015722264,0.050170898,40.92800547,0.014373779
14,0.041745063,0.01772608,0.044832282,0.038535051,0.044832282,0.038535051,0.52909887,0.52909887,0.661630123,0.661630123,0.08379107,0.08379107,0.155982873,0.155982873,0.119384766,23.55245404,0.161132813
15,0.473669822,0.089484572,0.50048737,0.037134964,0.50048737,0.037134964,1.066361753,1.066361753,1.126839091,1.126839091,0.098601475,0.098601475,0.477540256,0.477540256,0.06427002,6.804568409,0.012123108
16,0.048240692,0.014206335,0.073200586,0.056659203,0.073200586,0.056659203,0.676270923,0.676270923,0.688210828,0.688210828,0.021739658,0.021739658,0.05515601,0.05515601,0.066955566,6.304635823,0.114685059
17,0,0,0.0055692,0.005406553,0.0055692,0.005406553,0.632950425,0.632950425,0.510837385,0.510837385,0.016844889,0.016844889,0.022560212,0.022560212,0.012451172,25.25862337,0.02166748
18,0.000914053,1.09E-05,0.001847396,0.001167751,0.001847396,0.001167751,0.406500703,0.406500703,0.367420969,0.367420969,0.012955262,0.012955262,0.018675135,0.018675135,0.016342163,25.31893101,0.017440796
19,0.427838468,0.042524483,0.501478595,0.151629135,0.501478595,0.151629135,0.616579027,0.616579027,0.626587568,0.626587568,0.133918792,0.133918792,0.514630125,0.514630125,0.223632813,14.90807845,0.20324707
20,0,0,0.000313642,6.21E-05,0.000313642,6.21E-05,0.480498837,0.480498837,0.428697505,0.428697505,0.045137782,0.045137782,0.136600682,0.136600682,0.041931152,49.34893903,0.03894043
21,0.000863939,0.000608842,0.000284444,0.000423995,0.000284444,0.000423995,0.524613682,0.524613682,0.590638731,0.590638731,0.001105914,0.001105914,0.0019469,0.0019469,0.00124836,10.52693738,0.00374794
22,0.00289552,0.003222153,0.042079266,0.015315338,0.042079266,0.015315338,0.528578503,0.528578503,0.695070526,0.695070526,0.005326959,0.005326959,0.010482125,0.010482125,0.007492065,6.938950518,0.033996582
23,0.118399276,0.017329218,0.564755725,0.05223123,0.564755725,0.05223123,0.326637121,0.326637121,0.390776314,0.390776314,0.069501087,0.069501087,0.625962887,0.625962887,0.148193359,19.42288864,0.337158203
24,0.017972036,0.003600432,0.039305387,0.019447625,0.039305387,0.019447625,0.618553066,0.618553066,0.526242188,0.526242188,0.086642735,0.086642735,0.074898112,0.074898112,0.088989258,53.44980277,0.098937988
25,6.24E-05,0.000110459,0.00720997,0.005357886,0.00720997,0.005357886,0.424946095,0.424946095,0.42053693,0.42053693,0.085546754,0.085546754,0.222184956,0.222184956,0.055175781,29.55436317,0.139038086
26,0.016611266,0.008079782,0.151226728,0.080594145,0.151226728,0.080594145,0.661984471,0.661984471,0.825257659,0.825257659,0.126951396,0.126951396,0.1738495,0.1738495,0.141601563,18.30212763,0.137939453
27,0.002897857,0.001757659,0.005275361,0.003096559,0.005275361,0.003096559,0.567253183,0.567253183,0.685569196,0.685569196,0.042182207,0.042182207,0.042684761,0.042684761,0.037994385,17.2877162,0.048797607
28,0.044825971,0.031783652,0.073247753,0.051270567,0.073247753,0.051270567,0.850913066,0.850913066,1.221281322,1.221281322,0.037629746,0.037629746,0.051647978,0.051647978,0.019454956,3.376300389,0.123046875
29,0.004151114,0.0007118,0.01102066,0.008638874,0.01102066,0.008638874,0.891369658,0.891369658,0.897816657,0.897816657,0.018584039,0.018584039,0.027194458,0.027194458,0.02696228,9.804704171,0.054229736
30,0.05407606,0.007065015,0.196819538,0.036830757,0.196819538,0.036830757,0.629361573,0.629361573,0.631040439,0.631040439,0.059273802,0.059273802,0.363082994,0.363082994,0.063720703,12.27512988,0.172607422
31,5.77E-05,8.74E-05,0.001404147,0.000815287,0.001404147,0.000815287,0.613131299,0.613131299,0.528738596,0.528738596,0.013387755,0.013387755,0.012124197,0.012124197,0.012634277,39.34206723,0.010009766
32,0,0,0.00024893,6.70E-05,0.00024893,6.70E-05,0.539520568,0.539520568,0.452357891,0.452357891,0.005054774,0.005054774,0.006403562,0.006403562,0.00711441,52.0112932,0.005386353
33,0.09449455,0.069557473,0.110233568,0.082800351,0.110233568,0.082800351,0.941409224,0.941409224,0.581609256,0.581609256,0.128724724,0.128724724,0.129855192,0.129855192,0.13293457,49.81257281,0.141601563
34,0.044990387,0.038092952,0.03120216,0.029960781,0.03120216,0.029960781,0.592460265,0.592460265,0.630782486,0.630782486,0.041180745,0.041180745,0.045684698,0.045684698,0.037506104,14.39434964,0.060668945
35,0.003575131,0.000647169,0.001710798,0.002169717,0.001710798,0.002169717,0.516864255,0.516864255,0.413071493,0.413071493,0.034264449,0.034264449,0.083955458,0.083955458,0.020812988,26.0276128,0.057769775
36,0.016668931,0.001265758,0.102943161,0.046831354,0.102943161,0.046831354,0.527774657,0.527774657,0.725635732,0.725635732,0.018950785,0.018950785,0.038494536,0.038494536,0.006435394,6.484911632,0.081481934
37,0.134759369,0.011005329,0.258062759,0.022521125,0.258062759,0.022521125,0.51916519,0.51916519,0.681018902,0.681018902,0.035570368,0.035570368,0.088061983,0.088061983,0.044433594,8.761941253,0.140380859
38,0,0,0.012111715,0.003273261,0.012111715,0.003273261,0.793695169,0.793695169,0.714678271,0.714678271,0.015813837,0.015813837,0.022586942,0.022586942,0.034210205,21.68680931,0.065002441
39,0,0,0.000126712,2.23E-05,0.000126712,2.23E-05,0.480862131,0.480862131,0.587019602,0.587019602,0,0,0.000182363,0.000182363,0.001817703,12.56127676,0.009849548
40,0.006203997,0.00335385,0.019678629,0.010557674,0.019678629,0.010557674,0.510025326,0.510025326,0.509843392,0.509843392,0.027510697,0.027510697,0.03193749,0.03193749,0.032104492,30.95423127,0.030563354
41,0.000182466,0.00029644,4.56E-05,8.96E-05,4.56E-05,8.96E-05,0.566586714,0.566586714,0.566873985,0.566873985,0.001181413,0.001181413,0.001352458,0.001352458,0.000783443,15.14684289,0.008514404
42,0.000484071,0.000578081,0.082854004,0.016577076,0.082854004,0.016577076,0.658829271,0.658829271,0.525669244,0.525669244,0.107553117,0.107553117,0.354610591,0.354610591,0.077148438,34.68643261,0.119384766
43,0.000384153,0.000307958,0.001504352,0.000917061,0.001504352,0.000917061,0.670765509,0.670765509,0.555318559,0.555318559,0.114465237,0.114465237,0.562693461,0.562693461,0.031738281,55.8565722,0.051879883
44,0,0,0.016990044,0.001426798,0.016990044,0.001426798,0.433092242,0.433092242,0.598243642,0.598243642,0.01393749,0.01393749,0.034128002,0.034128002,0.041717529,17.92867687,0.012252808
45,0.000188047,6.70E-05,4.70E-05,7.37E-05,4.70E-05,7.37E-05,0.456864781,0.456864781,0.395943373,0.395943373,0.015209789,0.015209789,0.023183344,0.023183344,0.012916565,52.73664476,0.010452271
46,0.042424838,0.026046006,0.026755717,0.027763505,0.026755717,0.027763505,1.190467924,1.190467924,0.934796442,0.934796442,0.074555084,0.074555084,0.071353871,0.071353871,0.066223145,14.85126876,0.058105469
47,0.007884156,0.007927594,0.004017554,0.005232785,0.004017554,0.005232785,0.70560964,0.70560964,0.918848062,0.918848062,0.047561064,0.047561064,0.04114198,0.04114198,0.04800415,6.883931523,0.018371582
48,0.219744138,0.0555101,0.476429688,0.08887732,0.476429688,0.08887732,0.956812469,0.956812469,0.932588323,0.932588323,0.116686679,0.116686679,0.493151462,0.493151462,0.12890625,12.54575598,0.294921875
49,0,0,0.057024388,0.018004242,0.057024388,0.018004242,0.610396461,0.610396461,0.771842612,0.771842612,0.000171594,0.000171594,0.001391889,0.001391889,0,4.364893908,0.131225586
50,0,0,0.043837741,0.01118915,0.043837741,0.01118915,0.598181986,0.598181986,0.569330964,0.569330964,0.088887155,0.088887155,0.137242444,0.137242444,0.051452637,18.30306133,0.117126465
51,0.0024495,0.000134995,0.008924374,0.008452655,0.008924374,0.008452655,0.495443288,0.495443288,0.579404263,0.579404263,0.003520928,0.003520928,0.012178938,0.012178938,0.000919342,5.715036692,0.011108398
52,0.002221022,0.002966309,0.000646098,0.001027882,0.000646098,0.001027882,0.508387399,0.508387399,0.452660794,0.452660794,0.001388734,0.001388734,0.001251068,0.001251068,0.001194,10.87721062,0.000302315
53,0,0,0.018694574,0.001410234,0.018694574,0.001410234,0.618867933,0.618867933,0.577001122,0.577001122,0.081140831,0.035177846,0.091429608,0.409114428,0.054840088,24.44617454,0.081359863
