GHUB_ID,precip2015,temp2015,GDP,elevation,biom,soil,climate,capital,riverba,costal,UE_Area,CONTINENT,Country,countr_iso,ucid,pop100,BU100,Vol_tot,Vol_non,gdp2
1,901.7400512,11.35999966,10614084311,54,"Temperate Grasslands, Savannas and Shrublands",Cambisols,"Mild temperate, fully humid, and  Warm summer",0,0,1,176.1834524,Oceania,New Zealand,NZL,13071,321561.9114,39564137,308501901,50067242,10133394917
2,1478.53299,13.5111227,5162466449,43,Temperate Broadleaf and Mixed Forests,Andosols,"Mild temperate, fully humid, and  Warm summer",0,WAIKATO,1,93.67055039,Oceania,New Zealand,NZL,13127,152446.0152,26543289,243437476,12136569,4935740004
3,1197.972198,14.51785755,7086207814,36,Temperate Broadleaf and Mixed Forests,Acrisols,"Mild temperate, fully humid, and  Warm summer",0,0,1,103.7368322,Oceania,New Zealand,NZL,13130,223334.8572,30090556,336619924,6420694,6585164199
4,1583.900574,13.04405689,3844204463,63,Temperate Broadleaf and Mixed Forests,Andosols,"Mild temperate, fully humid, and  Warm summer",0,0,1,110.1240472,Oceania,New Zealand,NZL,13131,120045.9992,24734806,234749672,3217075,3423615471
5,1177.512634,11.7656374,2163272517,95,Temperate Broadleaf and Mixed Forests,Luvisols,"Mild temperate, fully humid, and  Warm summer",0,0,1,39.15789776,Oceania,New Zealand,NZL,13124,70851.93448,14576678,107907405,2519467,2039313097
6,830.7832031,9.170826912,2573233452,154,"Temperate Grasslands, Savannas and Shrublands",Acrisols,"Mild temperate, fully humid, and  Warm summer",0,0,1,53.70067053,Oceania,New Zealand,NZL,13046,88087.62551,9723587,109578582,14777775,2129480425
7,1471.800018,12.60834312,1490889498,389,Temperate Broadleaf and Mixed Forests,Andosols,"Mild temperate, fully humid, and  Warm summer",0,WAIKATO,1,45.32749297,Oceania,New Zealand,NZL,13131,49943.47547,11308300,87081181,503580,1293994782
8,1265.798767,14.51806641,1072459433,106,Temperate Broadleaf and Mixed Forests,Acrisols,"Mild temperate, fully humid, and  Warm summer",0,0,1,36.88305604,Oceania,New Zealand,NZL,0,38333.9412,9620086,88457488,540299,1026540727
9,1187.184265,14.6472168,1063953323,42,Temperate Broadleaf and Mixed Forests,Acrisols,"Mild temperate, fully humid, and  Warm summer",0,0,1,35.26511655,Oceania,New Zealand,NZL,13130,39249.17287,7129808,73004642,211832,864642451.9
10,1350.742309,9.847623825,1337030504,15,Temperate Broadleaf and Mixed Forests,Acrisols,"Mild temperate, fully humid, and  Warm summer",0,0,1,30.31248065,Oceania,New Zealand,NZL,0,41760.74771,6633378,47282889,7773430,1175508698
