GHUB_ID,share_of_barrier_5km_nb,nonconvexity_5km_nb,share_of_barrier_10km_nb,nonconvexity_10km_nb,share_of_barrier_5km_b,nonconvexity_5km_b,share_of_barrier_10km_b,nonconvexity_10km_b,detour_5km_nb,detour_10km_nb,detour_5km_b,detour_10km_b,nonconvexity_elastic_nb,nonconvexity_elastic_b,share_barrier_elastic_nb,share_barrier_elastic_b,detour_40km_b,share_barrier_40km_b,nonconvexity_40km_b
1,0,0,0.061300243,0.010961368,0,0,0.061300243,0.010961368,0.386005173,0.487081453,0.386005173,0.487081453,0.031669892,0.031669892,0.220877292,0.220877292,,,
2,0.011871604,0.014172756,0.005305663,0.007210141,0.011871604,0.014172756,0.005305663,0.007210141,0.573656464,0.625538298,0.573656464,0.625538298,0.00625868,0.00625868,0.00579579,0.00579579,,,
3,0.16956763,0.014624763,0.413987801,0.078752771,0.16956763,0.014624763,0.413987801,0.078752771,0.544417007,0.726899192,0.544417007,0.726899192,0.15715,0.15715,0.395692631,0.395692631,,,
4,0.22670988,0.231556669,0.278320536,0.114991367,0.22670988,0.231556669,0.278320536,0.114991367,0.959647336,0.880508245,0.959647336,0.880508245,,,,,,,
5,0.006506507,0.006298433,0.004865726,0.005393432,0.006506507,0.006298433,0.004865726,0.005393432,0.607873864,0.636060692,0.607873864,0.636060692,0.005872046,0.005872046,0.005803356,0.005803356,,,
6,0.15519794,0.034676164,0.341400875,0.056971978,0.15519794,0.034676164,0.341400875,0.056971978,0.606124684,0.756359797,0.606124684,0.756359797,0.050470751,0.050470751,0.303385164,0.303385164,,,
7,0.20320302,0.038811553,0.223172687,0.073508777,0.20320302,0.038811553,0.223172687,0.073508777,0.844372944,0.908602245,0.844372944,0.908602245,0.044526253,0.044526253,0.21522276,0.21522276,,,
8,0.01954486,0.014643055,0.068584911,0.023213742,0.01954486,0.014643055,0.068584911,0.023213742,0.776542444,0.73887769,0.776542444,0.73887769,0.01513669,0.01513669,0.024912021,0.024912021,,,
9,0.358898485,0.032310173,0.36723479,0.061540447,0.358898485,0.032310173,0.36723479,0.061540447,0.989265905,0.851316887,0.989265905,0.851316887,0.036276836,0.036276836,0.363669877,0.363669877,,,
10,0.058434007,0.017503265,0.08374575,0.028767699,0.058434007,0.017503265,0.08374575,0.028767699,0.52309659,0.47790417,0.52309659,0.47790417,0.024431918,0.024431918,0.055183815,0.055183815,,,
11,0,0,0.001653517,0.000144118,0,0,0.001653517,0.000144118,0.599666118,0.591648609,0.599666118,0.591648609,0,0,0.000222467,0.000222467,,,
12,0.053649068,0.036668137,0.152824847,0.045517493,0.053649068,0.036668137,0.152824847,0.045517493,1.16913534,1.290168656,1.16913534,1.290168656,0.035057563,0.035057563,0.115514374,0.115514374,,,
13,0.325548466,0.006288693,0.406350869,0.003680354,0.325548466,0.006288693,0.406350869,0.003680354,0.669852265,0.777273844,0.669852265,0.777273844,0.008286813,0.008286813,0.33866466,0.33866466,,,
14,0.258515829,0.07509727,0.437041828,0.132339299,0.258515829,0.07509727,0.437041828,0.132339299,0.815097337,1.115008852,0.815097337,1.115008852,0.120870918,0.120870918,0.434990248,0.434990248,,,
15,0.087231842,0.034968447,0.266627159,0.015527978,0.087231842,0.034968447,0.266627159,0.015527978,0.574539598,0.66127949,0.574539598,0.66127949,0.032592297,0.032592297,0.098435706,0.098435706,,,
16,0.171190965,0.010800197,0.36217086,0.012959288,0.171190965,0.010800197,0.36217086,0.012959288,0.570890534,0.847258771,0.570890534,0.847258771,0.013072868,0.013072868,0.278703755,0.278703755,,,
17,0.253106044,0.010617773,0.340863391,0.009096739,0.253106044,0.010617773,0.340863391,0.009096739,0.607463784,0.579299778,0.607463784,0.579299778,0.010385736,0.010385736,0.24679039,0.24679039,,,
