areaID,City Name,Country,Region,CBD Latitude,CBD Longitude,Population,BU_area(ha),Urban Built-up Area (ha),Urbanized Open Space  (ha),Urban Extent (ha),Built-up Area Density (persons/ha),Urban Extent Density (persons / ha),Frgmentation: Saturation  (Built-up Area/Urban Extent), Fragmentation: Openness index,Compactness: Proximity index,Compactness: Cohesion index,Share of Built-up Area Occupied by Roads(90-15),the 4-Way Intersection Density (number per km2_90_15 ),Share of Built-up Area That Is Gridded(90_15)
0,Kabul,Afghanistan,South and Central Asia,34.529,69.172,3536646,22872,18514,11537,34409,155,103,0.66,0.28,0.8,0.79,0.2,17.8,0.05
1,Algiers,Algeria,Western Asia and North Africa,36.732,3.14,3085561,27798,20537,17014,44812,111,69,0.62,0.33,0.72,0.7,0.25,14.1,0.08
2,Tebessa,Algeria,Western Asia and North Africa,35.416,8.108,203543,2579,2022,1088,3667,79,56,0.7,0.27,0.85,0.83,0.23,57.2,0
3,Luanda,Angola,Sub-Saharan Africa,-8.825,13.26,5555024,36891,31702,14076,50967,151,109,0.72,0.2,0.87,0.86,0.17,29.3,0
4,Buenos_Aires,Argentina,Latin America and the Caribbean,-34.652,-58.547,13879006,147306,132652,46088,193394,94,72,0.76,0.17,0.82,0.81,0.15,41.5,0.73
5,Cordoba,Argentina,Latin America and the Caribbean,-31.381,-64.216,1392944,24542,20270,10945,35487,57,39,0.69,0.23,0.87,0.86,0.21,25.2,0.15
6,Sydney,Australia,Land-Rich Developed Countries,151.071,-33.798,4114435,110033,90790,52493,162527,37,25,0.68,0.28,0.81,0.79,0.2,3.1,0.03
7,Vienna,Austria,Europe and Japan,48.124,16.346,2025195,36563,28833,16785,53347,55,38,0.69,0.29,0.72,0.7,0.18,16.5,0
8,Baku,Azerbaijan,Western Asia and North Africa,40.4,49.881,1671787,18670,16498,6992,25662,90,65,0.73,0.24,0.82,0.82,0.18,6.7,0.03
9,Dhaka,Bangladesh,South and Central Asia,23.766,90.418,13609023,24676,19795,11865,36541,552,372,0.68,0.29,0.65,0.64,0.12,7.6,0
10,Rajshahi,Bangladesh,South and Central Asia,24.367,88.6,517053,3234,1668,2775,6009,160,86,0.54,0.47,0.62,0.61,0.12,4,0
11,Saidpur,Bangladesh,South and Central Asia,25.802,88.881,111029,871,572,586,1457,127,76,0.6,0.38,0.81,0.8,0.15,6.1,
12,Gomel,Belarus,Europe and Japan,52.432,30.972,508557,9573,7764,4013,13587,53,37,0.7,0.28,0.78,0.75,0.16,16.7,0
13,Antwerp,Belgium,Europe and Japan,51.22,4.403,1277376,43115,27604,32288,75403,30,17,0.57,0.4,0.76,0.75,0.13,6.4,0
14,Cochabamba,Bolivia,Latin America and the Caribbean,-17.391,-66.17,1034944,16736,12831,9559,26295,62,39,0.64,0.29,0.69,0.67,0.19,26.4,0
15,Ilheus,Brazil,Latin America and the Caribbean,-14.803,-39.045,97888,1513,1023,570,2083,65,47,0.73,0.38,0.56,0.54,0.21,17.5,0.1
16,Jequié,Brazil,Latin America and the Caribbean,-13.862,-40.085,128045,2511,2075,959,3470,51,37,0.72,0.26,0.82,0.81,0.26,46.8,0.11
17,Belo HorizonteBelo_Horizonte,Brazil,Latin America and the Caribbean,-19.904,-44.005,4038047,48701,43236,15850,64552,83,63,0.75,0.18,0.85,0.84,0.2,8.7,0.03
18,Curitiba,Brazil,Latin America and the Caribbean,-25.463,-49.254,2728388,44527,37503,19499,64027,61,43,0.7,0.25,0.89,0.87,0.16,19.6,0.18
19,Florianopolis,Brazil,Latin America and the Caribbean,-27.595,-48.613,532951,10210,7748,5640,15850,52,34,0.64,0.33,0.65,0.64,0.19,11.7,0
20,Sao_Paulo,Brazil,Latin America and the Caribbean,-23.534,-46.615,19609222,172428,158290,39480,211908,114,93,0.81,0.14,0.86,0.85,0.22,5.4,0.03
21,Ribeirao_Preto,Brazil,Latin America and the Caribbean,-21.172,-47.798,607350,10917,9385,4127,15044,56,40,0.73,0.22,0.91,0.9,0.27,16.1,0.05
22,Palmas,Brazil,Latin America and the Caribbean,-10.189,-48.33,154873,4228,3510,1944,6172,37,25,0.69,0.27,0.82,0.82,0.37,43,0
23,Victoria,Canada,Land-Rich Developed Countries,48.456,-123.401,318267,13351,10150,7295,20646,24,15,0.65,0.32,0.62,0.61,0.17,3.5,0
24,Montreal,Canada,Land-Rich Developed Countries,45.534,-73.658,3317850,89185,81093,23814,113000,37,29,0.79,0.19,0.79,0.77,0.19,6.6,0
