GUB_ID,share_of_barrier_10km_nb,nonconvexity_10km_nb,share_of_barrier_5km_nb,nonconvexity_5km_nb,share_of_barrier_5km_b,nonconvexity_5km_b,share_of_barrier_10km_b,nonconvexity_10km_b,detour_5km_nb,detour_10km_nb,detour_5km_b,detour_10km_b,nonconvexity_elastic_nb,nonconvexity_elastic_b,share_barrier_elastic_nb,share_barrier_elastic_b
1,0.355729184,0.066315435,0.179745483,0.042521067,0.179745483,0.042521067,0.355729184,0.066315435,0.56636989,0.713097138,0.56636989,0.713097138,0.045274861,0.045274861,0.256409773,0.256409773
2,0.409664533,0.005577963,0.333247965,0.012410071,0.333247965,0.012410071,0.409664533,0.005577963,0.536060649,0.564413211,0.536060649,0.564413211,0.005374026,0.005374026,0.268866605,0.268866605
3,0.352782206,0.008340627,0.257608131,0.008236286,0.257608131,0.008236286,0.352782206,0.008340627,0.565873997,0.546158442,0.565873997,0.546158442,0.00744343,0.00744343,0.185470122,0.185470122
4,0.002257509,0.0017712,0.001536767,0.000106314,0.001536767,0.000106314,0.002257509,0.0017712,0.562587198,0.522619584,0.562587198,0.522619584,0,0,0.000480604,0.000480604
5,0.028911432,0.010536053,0.000604624,0.000193918,0.000604624,0.000193918,0.028911432,0.010536053,0.552635552,0.535625283,0.552635552,0.535625283,0,0,0.000533949,0.000533949
6,0.000223226,0.000146734,0,0,0,0,0.000223226,0.000146734,0.552591974,0.580674764,0.552591974,0.580674764,0,0,0.000472497,0.000472497
7,0.065837293,0.012372321,0,0,0,0,0.065837293,0.012372321,0.389049531,0.443971923,0.389049531,0.443971923,0.020595448,0.020595448,0.16112711,0.16112711
8,0.300482627,0.16744715,0.261135733,0.103657171,0.261135733,0.103657171,0.300482627,0.16744715,0.939655917,0.915202356,0.939655917,0.915202356,0.010573808,0.010573808,0.140662675,0.140662675
9,0.536815602,0.290988266,0.426596657,0.049200498,0.426596657,0.049200498,0.536815602,0.290988266,0.798667381,1.154068529,0.798667381,1.154068529,0.038401831,0.038401831,0.354755049,0.354755049
10,0.053462445,0.012320436,0.00481676,0.001112157,0.00481676,0.001112157,0.053462445,0.012320436,0.579838944,0.720932522,0.579838944,0.720932522,0,0,0.00035573,0.00035573
11,0.410180732,0.003894141,0.301369805,0.006803762,0.301369805,0.006803762,0.410180732,0.003894141,0.626007503,0.834508236,0.626007503,0.834508236,0.00701575,0.00701575,0.286608966,0.286608966
12,0.066771791,0.021129772,0.01822466,0.014494709,0.01822466,0.014494709,0.066771791,0.021129772,0.735939518,0.703326667,0.735939518,0.703326667,0.012852354,0.012852354,0.019639831,0.019639831
13,0.188455457,0.083611727,0.129121676,0.102204621,0.129121676,0.102204621,0.188455457,0.083611727,0.540117821,0.464033093,0.540117821,0.464033093,0.212877467,0.212877467,0.354280991,0.354280991
14,0.384431656,0.074633926,0.389687343,0.038040604,0.389687343,0.038040604,0.384431656,0.074633926,1.166063371,0.881580396,1.166063371,0.881580396,0.039167643,0.039167643,0.388011737,0.388011737
15,0.415670945,0.082441628,0.170050858,0.014775417,0.170050858,0.014775417,0.415670945,0.082441628,0.5267373,0.732697592,0.5267373,0.732697592,0.120926119,0.120926119,0.414668324,0.414668324
16,0.357772453,0.107179083,0.321225763,0.118809506,0.321225763,0.118809506,0.357772453,0.107179083,0.831583081,1.019187787,0.831583081,1.019187787,0.080700628,0.080700628,0.354448975,0.354448975
17,0.26118234,0.056144983,0.137236783,0.047671214,0.137236783,0.047671214,0.26118234,0.056144983,1.103107425,1.235297148,1.103107425,1.235297148,0.045637235,0.045637235,0.173779659,0.173779659
18,0.005054592,0.002224564,0,0,0,0,0.005054592,0.002224564,0.590667459,0.637236219,0.590667459,0.637236219,0,0,0.000395369,0.000395369
19,0.268409859,0.113018736,0.161029804,0.042543251,0.161029804,0.042543251,0.268409859,0.113018736,0.986588379,1.174406233,0.986588379,1.174406233,0.011905192,0.011905192,0.028864965,0.028864965
20,0.17178453,0.051107716,0.100973762,0.033900157,0.100973762,0.033900157,0.17178453,0.051107716,0.962804657,1.237520732,0.962804657,1.237520732,0.035528835,0.035528835,0.124116386,0.124116386
21,0.478151249,0.119246557,0.389653439,0.008420044,0.389653439,0.008420044,0.478151249,0.119246557,0.957041345,1.063150397,0.957041345,1.063150397,0.000310823,0.000310823,0.285878838,0.285878838
22,0.253903747,0.015656685,0.076081474,0.035349272,0.076081474,0.035349272,0.253903747,0.015656685,0.570870643,0.659428401,0.570870643,0.659428401,0.039215438,0.039215438,0.053259133,0.053259133
23,0.098817202,0.061539892,0.040638912,0.025202552,0.040638912,0.025202552,0.098817202,0.061539892,1.24462134,1.14982045,1.24462134,1.14982045,0.018763024,0.018763024,0.033935987,0.033935987
24,0.005305546,0.007220467,0.012019608,0.014454942,0.012019608,0.014454942,0.005305546,0.007220467,0.562106139,0.599138279,0.562106139,0.599138279,0.008112988,0.008112988,0.005998249,0.005998249
25,0.030408134,0.0223029,0.033447497,0.024126047,0.033447497,0.024126047,0.030408134,0.0223029,0.597963388,0.731094784,0.597963388,0.731094784,0.000506878,0.000506878,0.021583343,0.021583343
26,0.007423843,0.004279902,0.0004816,0.000540367,0.0004816,0.000540367,0.007423843,0.004279902,0.746378472,0.670230913,0.746378472,0.670230913,0,0,0.00056402,0.00056402
27,0.007636778,0.003740103,0.001637989,0.00202933,0.001637989,0.00202933,0.007636778,0.003740103,0.754595645,0.742209827,0.754595645,0.742209827,0.005704229,0.005704229,0.003914363,0.003914363
28,3.97E-05,3.89E-05,0,0,0,0,3.97E-05,3.89E-05,0.656479113,0.530656938,0.656479113,0.530656938,0,0,0.000472496,0.000472496
29,0.004830561,0.005388602,0.006465053,0.00631685,0.006465053,0.00631685,0.004830561,0.005388602,0.666333995,0.673550907,0.666333995,0.673550907,0.006368721,0.006368721,0.00654236,0.00654236
30,0.002767094,0.002828883,0.002973876,0.002408576,0.002973876,0.002408576,0.002767094,0.002828883,0.601437617,0.688791143,0.601437617,0.688791143,0.000443948,0.000443948,0.003363876,0.003363876
31,8.17E-05,0.000100534,0.000163463,0.000277598,0.000163463,0.000277598,8.17E-05,0.000100534,0.750592124,0.85878518,0.750592124,0.85878518,0.000681021,0.000681021,0.001268425,0.001268425
32,0.171630542,0.073385365,0.19561183,0.061785366,0.19561183,0.061785366,0.171630542,0.073385365,0.730693218,0.771371956,0.730693218,0.771371956,0.032488879,0.032488879,0.22956385,0.22956385
33,0.206724788,0.100192562,0.150948145,0.073037595,0.150948145,0.073037595,0.206724788,0.100192562,0.899604923,0.835701065,0.899604923,0.835701065,0.082820795,0.082820795,0.181243705,0.181243705
34,0.536770959,0.129542485,0.48845314,0.070569813,0.48845314,0.070569813,0.536770959,0.129542485,1.198055931,0.881486753,1.198055931,0.881486753,0.054079887,0.054079887,0.48090437,0.48090437
35,0.223626891,0.073325314,0.226614796,0.042669825,0.226614796,0.042669825,0.223626891,0.073325314,0.806461342,0.84462265,0.806461342,0.84462265,0.043199651,0.043199651,0.226052579,0.226052579
36,0.001986738,0.000115703,0,0,0,0,0.001986738,0.000115703,0.58302171,0.551101866,0.58302171,0.551101866,0,0,0.0002811,0.0002811
37,0.365129234,0.013364312,0.178665323,0.012322413,0.178665323,0.012322413,0.365129234,0.013364312,0.547043265,0.779615623,0.547043265,0.779615623,0.013165823,0.013165823,0.213683507,0.213683507
38,0.026003774,0.006752925,0.008493203,0.005848655,0.008493203,0.005848655,0.026003774,0.006752925,0.839559978,0.749005705,0.839559978,0.749005705,0,0,0.000524464,0.000524464
39,0.369825924,0.010976607,0.202119894,0.01736374,0.202119894,0.01736374,0.369825924,0.010976607,0.985563518,0.904588947,0.985563518,0.904588947,0.030652922,0.030652922,0.042429229,0.042429229
40,0.335375489,0.04181407,0.206626529,0.017708888,0.206626529,0.017708888,0.335375489,0.04181407,0.649689876,0.854140612,0.649689876,0.854140612,0.013258972,0.013258972,0.176239188,0.176239188
41,0.000317699,0.000198889,0.000392772,0.000389719,0.000392772,0.000389719,0.000317699,0.000198889,0.627119795,0.678741931,0.627119795,0.678741931,0.000294488,0.000294488,0.000714322,0.000714322
42,0.258119925,0.031489469,0.139384787,0.010169533,0.139384787,0.010169533,0.258119925,0.031489469,0.764158692,0.689737068,0.764158692,0.689737068,0.010173927,0.010173927,0.136235811,0.136235811
43,0.321789738,0.013067923,0.182615575,0.02861839,0.182615575,0.02861839,0.321789738,0.013067923,0.790523913,0.720100172,0.790523913,0.720100172,0.028295264,0.028295264,0.179743674,0.179743674
44,0.418280562,0.021502122,0.189299735,0.010354155,0.189299735,0.010354155,0.418280562,0.021502122,0.666351124,0.606617267,0.666351124,0.606617267,0.00267088,0.00267088,0.084351224,0.084351224
45,0.205353094,0.009360216,0.053747301,0.008949473,0.053747301,0.008949473,0.205353094,0.009360216,0.632068471,0.518059162,0.632068471,0.518059162,0.015006428,0.015006428,0.327264377,0.327264377
46,0.044987418,0.003116569,0.000835792,0.000872626,0.000835792,0.000872626,0.044987418,0.003116569,0.675381594,0.686086749,0.675381594,0.686086749,0.000830672,0.000830672,0.001166056,0.001166056
47,0.093928109,0.028059829,0.025434729,0.019565171,0.025434729,0.019565171,0.093928109,0.028059829,1.346603899,1.127283156,1.346603899,1.127283156,0,0,0.000371913,0.000371913
48,0.003486477,0.001422419,0,0,0,0,0.003486477,0.001422419,0.59552091,0.556173492,0.59552091,0.556173492,0,0,0.00033096,0.00033096
49,0.232923847,0.014164089,0.001658597,0.001168047,0.001658597,0.001168047,0.232923847,0.014164089,0.60827411,0.659577261,0.60827411,0.659577261,4.36E-05,4.36E-05,0.001408163,0.001408163
50,0.159409614,0.044776183,0.022264125,0.011225672,0.022264125,0.011225672,0.159409614,0.044776183,0.978260672,0.875108702,0.978260672,0.875108702,3.77E-08,3.77E-08,0.000622728,0.000622728
51,0.351552992,0.026844477,0.056761548,0.002478579,0.056761548,0.002478579,0.351552992,0.026844477,1.038613032,1.015551411,1.038613032,1.015551411,0,0,0.000713761,0.000713761
52,0.002313596,5.43E-05,0,0,0,0,0.002313596,5.43E-05,0.646136079,0.645156271,0.646136079,0.645156271,0,0,0.000421073,0.000421073
53,0.034037081,0.022394476,0.023907866,0.014761765,0.023907866,0.014761765,0.034037081,0.022394476,0.686059309,0.738437632,0.686059309,0.738437632,0.013325126,0.013325126,0.020957713,0.020957713
54,0.010808157,0.002335128,0.000390811,0.000624049,0.000390811,0.000624049,0.010808157,0.002335128,0.489148899,0.536117625,0.489148899,0.536117625,0.001089302,0.001089302,0.004567904,0.004567904
55,0.455332353,0.086130142,0.488536356,0.127767295,0.488536356,0.127767295,0.455332353,0.086130142,0.855450048,0.869943202,0.855450048,0.869943202,0.084417321,0.084417321,0.444834062,0.444834062
56,0.178449458,0.032287486,0.013647871,0.004650799,0.013647871,0.004650799,0.178449458,0.032287486,0.547187836,0.541796652,0.547187836,0.541796652,0,0,0.000488927,0.000488927
57,0.28215094,0.060575373,0.213408231,0.033853609,0.213408231,0.033853609,0.28215094,0.060575373,1.56878658,0.804178498,1.56878658,0.804178498,0,0,0.003395184,0.003395184
58,0.411170623,0.025353134,0.324126026,0.005311129,0.324126026,0.005311129,0.411170623,0.025353134,0.546238618,0.897056003,0.546238618,0.897056003,0.007629639,0.007629639,0.211315836,0.211315836
59,0.010257224,0.003398585,0,0,0,0,0.010257224,0.003398585,0.632990722,0.506328677,0.632990722,0.506328677,0,0,0.000456878,0.000456878
60,0.007937993,0.00127172,0.000393154,0.000587794,0.000393154,0.000587794,0.007937993,0.00127172,1.139180174,0.80175615,1.139180174,0.80175615,0,0,0.000889406,0.000889406
61,9.83E-05,9.01E-05,0,0,0,0,9.83E-05,9.01E-05,2.118202284,1.466078813,2.118202284,1.466078813,0,0,0.00297613,0.00297613
62,0.005437654,0.000369284,0,0,0,0,0.005437654,0.000369284,1.213477342,0.988165954,1.213477342,0.988165954,0,0,0.001081094,0.001081094
63,0.469775728,0.08446952,0.396634526,0.164606392,0.396634526,0.164606392,0.469775728,0.08446952,0.763170923,0.680609397,0.763170923,0.680609397,0.142460048,0.142460048,0.379012841,0.379012841
64,0.201984447,0.03958087,0.013191035,0.000379874,0.013191035,0.000379874,0.201984447,0.03958087,0.509105394,0.528354293,0.509105394,0.528354293,0.053630665,0.053630665,0.235815486,0.235815486
